word	lemma	pos
de	de	PD(type=d-p,subtype=art,position=prenom)
vriendin	vriendin	NOU-C(number=sg)
vrouwonvriendelijk	vrouwonvriendelijk	AA(degree=pos,position=free)
genoemd	noemen	VRB(finiteness=pastpart)
,	None	PC
een	een	PD(type=indef,subtype=art,position=prenom)
paar	paar	NOU-C(number=sg)
keer	keer	NOU-C(number=sg)
)	None	PC
Over	over	ADP(type=pre)
haar	haar	PD(type=poss,position=prenom)
woede	woede	NOU-C(number=sg)
toen	toen	CONJ(type=sub)
haar	haar	PD(type=poss,position=prenom)
zus	zus	NOU-C(number=sg)
haar	haar	PD(type=pers,position=free)
om	om	ADP(type=pre)
6	zes	NUM(type=card,position=prenom,representation=dig)
uur	uur	NOU-C(number=sg)
's	de	PD(type=d-p,subtype=art,position=prenom)
ochtends	ochtend	NOU-C(number=sg)
ophaalde	ophalen	VRB(finiteness=fin,tense=past)
van	van	ADP(type=pre)
Schiphol	Schiphol	NOU-P
maar	maar	CONJ(type=coor)
in	in	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
verkeerde	verkeerd	AA(degree=pos,position=prenom)
aankomsthal	aankomsthal	NOU-C(number=sg)
stond	staan	VRB(finiteness=fin,tense=past)
.	None	PC
Haar	haar	PD(type=poss,position=prenom)
woede	woede	NOU-C(number=sg)
op	op	ADP(type=pre)
haar	haar	PD(type=poss,position=prenom)
zus	zus	NOU-C(number=sg)
toen	toen	CONJ(type=sub)
die	die	PD(type=d-p,position=free)
na	na	ADP(type=pre)
een	een	PD(type=indef,subtype=art,position=prenom)
schaamlipcorrectie	schamelipcorrectie	NOU-C(number=sg)
maar	maar	ADV(type=reg)
bleef	blijven	VRB(finiteness=fin,tense=past)
bloeden	bloeden	VRB(finiteness=inf)
en	en	CONJ(type=coor)
zij	zij	PD(type=pers,position=free)
haar	haar	PD(type=pers,position=free)
uit	uit	ADP(type=pre)
het	het	PD(type=d-p,subtype=art,position=prenom)
ziekenhuis	ziekenhuis	NOU-C(number=sg)
moest	moeten	VRB(finiteness=fin,tense=past)
ophalen	ophalen	VRB(finiteness=inf)
.	None	PC
Maar	maar	CONJ(type=coor)
ze	zij	PD(type=pers,position=free)
was	zijn	VRB(finiteness=fin,tense=past)
niet	niet	ADV(type=reg)
boos	boos	AA(degree=pos,position=free)
toen	toen	CONJ(type=sub)
haar	haar	PD(type=poss,position=prenom)
zus	zus	NOU-C(number=sg)
haar	haar	PD(type=poss,position=prenom)
vinger	vinger	NOU-C(number=sg)
brak	breken	VRB(finiteness=fin,tense=past)
bij	bij	ADP(type=pre)
het	het	PD(type=d-p,subtype=art,position=prenom)
kickboksen	kikboksen	NOU-C(number=sg)
en	en	CONJ(type=coor)
zij	zij	PD(type=pers,position=free)
naar	naar	ADP(type=pre)
het	het	PD(type=d-p,subtype=art,position=prenom)
ziekenhuis	ziekenhuis	NOU-C(number=sg)
moest	moeten	VRB(finiteness=fin,tense=past)
komen.Waarom	komen	VRB(finiteness=inf)
toen	toen	ADV(type=reg)
niet	niet	ADV(type=reg)
,	None	PC
dat	dat	PD(type=d-p,position=free)
kan	kunnen	VRB(finiteness=fin,tense=pres)
ze	zij	PD(type=pers,position=free)
niet	niet	ADV(type=reg)
verklaren	verklaren	VRB(finiteness=inf)
.	None	PC
Hoe	hoe	ADV(type=reg)
gemakkelijk	gemakkelijk	AA(degree=pos,position=free)
ze	zij	PD(type=pers,position=free)
de	de	PD(type=d-p,subtype=art,position=prenom)
macht	macht	NOU-C(number=sg)
over	over	ADP(type=pre)
haarzelf	zijzelf	PD(type=poss,position=prenom)
,	None	PC
over	over	ADP(type=pre)
haar	haar	PD(type=poss,position=prenom)
zoon	zoon	NOU-C(number=sg)
,	None	PC
aan	aan	ADP(type=pre)
een	een	PD(type=indef,subtype=art,position=prenom)
ander	ander	PD(type=indef,position=free)
geeft	geven	VRB(finiteness=fin,tense=pres)
.	None	PC
